,Input,Output
"
5838,The Chihuahuan Desert also extends into which neighboring Mexican state?,"	Coahuila
"
5839,At what division level does the Washington University sports teams compete?,"	Division III
"
5840,What were many of these old buildings built without?,"	regulations
"
5841,"Apart from her membership in the Church of England, to what other church does she belong?","	Church of Scotland
"
5842,"At the high end, what percentage of Afrikaans words come from Dutch?","	95%
"
5843,How many gallons of liquid cleaning agent leaked from an IBM facility in 1979?,"	4,100 gallons
"
5844,Which city has a lower than usual drinking age?,"	Windsor, Ontario
"
5845,How many insects have nociceptors?,"	a few
"
5846,What is the main distinction of side lobes?,"	represent unwanted radiation
"
5847,What sector has expanded radiply by selling outsourcing services to North America and Europe?,"	information technology (IT)
"
5848,House of Dereon became known through Beyonce and which of Beyonce's relatives?,"	her mother
"
5849,What was the name of Imperial's student newspaper?,"	Felix
"
5850,What is one name used to refer to the jurisdiction of NCT of Delhi?,"	Delhi
"
5851,What does the British-Irish Council discuss?,"	issues of mutual importance
"
5852,What was Francis Basset's political party?,"	Whig
"
5853,How many states was Germany reduced to in 1952,"	1952
"
5854,What metals were alloyed with tin to make it stronger?,"	lead, antimony, bismuth or copper
"
5855,What are antibodies comprised of?,"	specific proteins
"
5856,How much of Pakistan's population lives in Punjab?,"	Nearly 60%
"
5857,How many players can an NFL team have in the off-season?,"	90
"
5858,How is a board of directors less commonly chosen?,"	elected by a membership
"
5859,"According to Byzantine historiographers, tribes of Slavs emerged from what areas?","	the Carpathian Mountains, the lower Danube and the Black Sea
"
5860,The sensation of a knife twisting in the flesh is an example of what type of pain?,"	phantom body
"
5861,What theory did impetus pave the way for?,"	inertia
"
5862,Who weeps around the body of the King?,"	concubines
"
5863,What were the Ugyhurs accused of?,"	training to assist the Taliban's military.
"
5864,What year did the Rugby Football Union form?,"	1871
"
5865,"How did Matthew Arnold view ""Culture"" with?","	anarchy
"
5866,"Who earned an Academy Award for the song ""Vogue"" and ""Sooner or Later?"" ","	Stephen Sondheim
"
5867,What is the prominent topographical feature in Detroit?,"	Detroit Moraine
"
5868,The rifle green beret is worn by whom?,"	Special Forces
"
5869,How many helicopters is the LHD capable of launching?,"	multiple helicopters at one time
"
5870,Which film writer's work was included in leaks of Spectre information?,"	John Logan
"
5871,How many national highway bridges in Oklahoma were found to be deficient in 2010?,"	235
"
5872,What controversial technology did the US use in Pakistan?,"	drones
"
5873,The Orthodox population of Constantinople preferred Ottoman rule instead of what?,"	Venetian rule
"
5874,How many steps did Nasser take in preparation for war?,"	three successive steps
"
5875,What computer language came about as a result of the looping problem?,"	SQL
"
5876,What are the four recognized levels of testing software?,"	unit testing, integration testing, component interface testing, and system testing
"
5877,What other famous sculpture has had his art displayed at the Museo Soumaya?,"	Dalí
"
5878,What's Southampton's hockey club named?,"	Southampton Hockey Club
"
5879,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,"	C&A
"
5880,Who partnered with Egypt to build Suez Canal?,"	French
"
5881,What was most of Nigeria's federal income being spent on?,"	debt
"
5882,who helped join the East India company in a joint attack on Portuguese and Spanish ships?,"	Dutch
"
5883,What can constitute accounting fraud when nothing is recorded?,"	Liabilities promised on the full faith and credit of the organization
"
5884,In which color model is green one of the additive primary colors?,"	RGB
"
5885,Why is there a lessening of material possessions in hunting and gathering groups?,"	mobility
"
5886,The structure of the University of Paris served as what for other universities?,"	a standard
"
5887,What is used to signal toward a reciever?,"	transmitter
"
5888,What is an example of a passive solar technique?,"	orienting a building to the Sun
"
5889,Who is Hai Gaon thought to be referring to when he says Ashkenaz?,"	Germany
"
5890,What is the Detroit VA hospital called?,"	John D. Dingell
"
5891,In what year did Eisenhower propose his second civil rights act?,"	1960
"
5892,What do the race categories in the US Census include in addition to race?,"	national-origin
"
5893,Where in Plymouth is the Royal National Lifeboat Institution based?,"	Millbay Docks
"
5894,What was the GDP of the island in 1999-2000?,"	£12 million
"
5895,What advancement of Whitehead's process philosophy is attributed to Charles Hartshorne?,"	developing Whitehead's process philosophy into a full-blown process theology
"
5896,In what century was the Newer Orthography created?,"	19th century
"
5897,A University discovered a primitive flying what?,"	insect
"
5898,Buddism has what kind of parallels withother systems of thought?,"	moral and spiritual
"
5899,What was another country with similar immigration patterns to post Soviet Estonia?,"	Latvia
"
5900,Who was the Duke of Bavaria in 1516?,"	William IV
"
5901,Customarily where is the expected place in the lives of the people for the home of monks in Burma ?,"	In a traditional village, the monastery is the centre of cultural life.
"
5902,Which party has always elevated minority floor leaders to speakership?,"	Democrats
"
5903,What are pesticides meant to prevent?,"	destroy property, cause nuisance, or spread disease, or are disease vectors
"
5904,What radical political changes occurred during the 19th century ?,"	the movements of Philhellenism and the Diafotismos in the 19th century
"
5905,Where were companies located that had their stock trading suspended?,"	southwestern China
"
5906,What is it called when males return earlier to the breeding sites than females?,"	protandry
"
5907,Which institutions make up the Catholic Church?,"	Latin Church and Eastern Catholic Churches
"
5908,What country ruled CAR as a colony?,"	France
"
5909,Most people today describe their dogs as what?,"	part of the family
"
5910,What stimuli did men show no arousal towards?,"	to non-human visual stimuli
"
5911,What does cabin pressure control do? ,"	help passengers adapt smoothly to pressure changes
"
5912,From what ideals did Classical architecture emerge?,"	civic ideals
"
5913,Which community college is the second largest in the state?,"	Oklahoma City Community College
"
5914,What can be used as a intrinsic component of landscape projects?,"	lighting
"
5915,The Ming Dynasty granted what titles to lamas of schools?,"	the Karmapa Kargyu
"
5916,When did Texas become a state?,"	In 1846, the Republic dissolved when Texas entered the United States of America as a state.
"
5917,Handshake packets consist of only a single what?,"	PID byte
"
5918,Since what year has there been a daily broadcast on All India Radio?,"	1974
"
5919,What keeps USB cheaper than PoE?,"	the distance is short, and power demand is low.
"
5920,Do Haredi Jews tend to have large or small families?,"	Haredi Jews often have extremely large families
"
5921,What class was polands nobility?,"	closed class
"
5922,"What's another term for ""grounded"" in the context of PCBs?","	earthed
"
5923,Who was Derby's replacement?,"	Benjamin Disraeli
"
5924,When did Celtic tribes settle in Switzerland? ,"	between 1000 to 1500 BC
"
5925,When did the rebels regain the south-east of England?,"	end of the summer
"
5926,What was the biggest fear aerial attacks would cause besides death and wounded?,"	psychological trauma
"
5927,How many Grammy awards did Beyoncé win for her first solo album?,"	five
"
5928,How did the removal of wolves from Yellowstone affect beaver habitats?,"	habitat became territory for grazing.
"
5929,What does Pirie claim conservatives want for the free market?,"	to function smoothly
"
5930,What four topics are required in an Endangered Species Recovery Plan?,"	goals, tasks required, likely costs, and estimated timeline to recover endangered species
"
5931,Where were most jazz clubs located?,"	cellars
"
5932,What incident killed Diana in Paris?,"	car crash
"
5933,In what year was A Vindication on the Rights of Woman published?,"	1791
"
5934,What breed of penguin lives in Antarctica?,"	emperor penguin
"
5935,What was the mosaic at Butrint designed to portray?,"	a terrestrial paradise
"
5936,What did the pope die of?,"	stomach cancer
"
5937,Which male body parts enlarge and develop at the same time as the penis?,"	seminal vesicles, the prostate, and the bulbourethral gland
"
5938,Literary readings are usually used where?,"	formal phrases and written language
"
5939,"What are the 1930's known as, in China?","	the Nanking decade
"
5940,What architectural style was particularly successful?,"	Art Nouveau
"
5941,From where do tropical storms travel from to St. John's?,"	United States
"
5942,What is the modern name for the West Saxon dialect of Alfred's time?,"	Early West Saxon
"
5943,Which huge internet seller is headquartered in Seattle?,"	Amazon.com
"
5944,What is total amount of energy production from wind power?,"	nearly 60 MW
"
5945,POJ alphabet has been used since late in what century?,"	19th
"
5946,What is the name of the upper house of the Marshall Islands Parliament?,"	the Council of Iroij
"
5947,How long is the border that San Diego shares with Mexico?,"	15-mile (24 km)
"
5948,How many state make up the United States?,"	50
"
5949,What was the most visited art museum in Paris in 2014?,"	The Louvre
"
5950,"In addition to ammo proposals, what other need was articulated?","	The need for some form of tracer or smoke trail
"
5951,How many votes did Kerry get against Cronin?,"	92,847
"
5952,What switches the input of most DC motors?,"	commutator
"
5953,When did Wales outlaw smoking in public?,"	April 2007
"
5954,What was the previous day's date by the Julian calendar?,"	Thursday, 4 October 1582
"
5955,Why do almost all carriers using conventional aircraft have arrested-recovery systems?,"	conventional aircraft cannot decelerate on their own
"
5956,What purpose did stelae serve?,"	religious
"
5957,How many bird species are long distance migrants?,"	1800
"
5958,Who supervised the design and implementation of the iPod user interface?,"	Steve Jobs
"
5959,Fans could vote for what during this contest?,"	coronation song
"
5960,About how many civilians were injured in September and October?,"	20,000
"
5961,Are short-range bluetooth accessories able to be used?,"	can also be used.
"
5962,What do Type-b receptacles do on target devices?,"	draw power
"
5963,Why did it receive this award?,"	for its outstanding contribution to international trade and the value it brings to English football and the United Kingdom's broadcasting industry.
"
5964,What direction would one travel from Southampton to get to the airport in Eastleigh?,"	north
"
5965,When did Bell cease to be President of the National Geographic Society?,"	1903
"
5966,Which organization offers versions of the Quran in 50 languages?,"	Ahmadiyya Muslim Community
"
5967,What two men were the most important in ground support?,"	Hugo Sperrle and Hans Jeschonnek
"
5968,Why is sequencing done on plants?,"	understanding the genetics
"
5969,Some insects have a fine scale spatial orientation and/or what else?,"	homing
"
5970,Where is a good source of marine research in Cork?,"	IMERC (Marine Energy)
"
5971,Where did Victoria isolate herself?,"	in her royal residences
"
5972,What idea did social science add to science as a whole?,"	positivism did not explain the actual interactions and strategies of the human participants in science
"
5973,What well known treaty would eventually would grant West Prussia to Poland?,"	Versailles
"
5974,When did fighting break out in CAR?,"	2002–3
"
5975,Attic Greek lenited to what?,"	voiceless and voiced fricatives
"
5976,In what year was home brewing first allowed in the UK?,"	1963
"
5977,What factors influence the noise-based speed?,"	the properties of the sensor and somewhat affected by the noise in the electronic gain and AD converter
"
5978,What type of vegetation is in central Nigeria?,"	savannah
"
5979,What is the national football stadium in Parque Batlle?,"	Estadio Centenario
"
5980,What term does the name copper originate from?,"	сuprum
"
5981,What do international actions do according to these scholars?,"	increase child labour
"
5982,Where was the only African destination for the torch?,"	Dar es Salaam
"
5983, In what year did the Russian campaign take place?,"	1812
"
5984,What is the name of the big game hunting foundation in Montana?,"	Rocky Mountain Elk Foundation
"
5985,Which verse in Matthew is believed to refer to Isaiah's prohecy of the Virgin Mary?,"	1:23
"
5986,In what year was the name Porter first used for a dark beer?,"	1721
"
5987,What dynasty ruled the Sultanate of Ifat?,"	the Walashma dynasty
"
5988,What was the name of Madonna's tenth studio album?,"	Confessions on a Dance Floor
"
5989,When was the Bell Telephone Memorial constructed?,"	1917
"
5990,What makes up Education?,"	knowledge, skills, values, beliefs, and habits
"
5991,What part of Coconut Grove houses the city hall of Miami?,"	Dinner Key
"
5992,Current central and northern Melbourne was explored by whom?,"	John Batman
"
5993,What congressional declaration gave President Johnson authority to send troops to Vietnam?,"	the Gulf of Tonkin Resolution
"
5994,Over fishing of which species of fish helped promote regulations on fishing?,"	krill
"
5995,"What is the average rainfall in Bissau, in millimetres?","	2,024
"
5996,How fast did the 1912 tornado outbreak make tornadoes?,"	one tornado per hour
"
5997,What kind of tournaments does Cedar Ridge Country Club host?,"	LPGA
"
5998,Where are quanzhou and Zhangzhou located?,"	Hokkien
"
5999,When did approach lighting come into use?,"	1930s
"
6000,How many people live on Norfolk Island?,"	1,796
"
6001,What is the name of the slightly less luxurious staterooms located underneath the State Apartments?,"	semi-state apartments
"
6002,What does NAA stand for?,"	New Armenian Army
"
6003,"How did the ""Classic Period"" end?","	the death and defeat of Emperor Aurangzeb in 1707
"
6004,What part of the government controls the judiciary budget in many developing countries?,"	executive
"
6005,Greece's climate is affected by what range?,"	Pindus mountain range
"
6006,What term did Irenaeus use to describe the Christian community's ideologies?,"	orthodox
"
6007,Where did Braque and Gris stay until the end of the World War I?,"	Montmartre
"
6008,Travel from Portugal to Bermuda would be in which direction?,"	west
"
6009,How long did British military presence remain in Egypt?,"	1954
"
6010,What type of music do Foo Fighters and Harvey Danger perform?,"	alternative rock
"
6011,What year did Dell come under fire from the Taiwanese Consumer Protection Commission?,"	2009
"
6012,The anterior section is closest to the what?,"	head
"
6013,In what year did the GHMC form?,"	2007
"
6014,During which dynasty was the term Xizang first used?,"	Qing
"
6015,How did Nasser try to deal with the military following the coup attempt?,"	depoliticizing the armed forces
"
6016,What branch of linguistics is phonology distinguished from?,"	phonetics
"
6017,Who decided Ukraine's official language?,"	Ukrainian Supreme Soviet
"
6018,When was the Kalmar Union formed?,"	1397
"
6019,When was the vernal equinox at the end of the third century?,"	20 March or 21 March
"
6020,What year did the Art institute of Charleston open?,"	2007
"
6021,What was displayed in Kentucky courthouses?,"	the Ten Commandments
"
6022,What Greek dialect had three-way stop distinction like Eastern Armenian?,"	Classical Attic
"
6023,What was the series' third most watched finale?,"	season seven
"
6024,Who was responsible for disbanding the Sex Pistols?,"	Lydon
"
6025,Which media outlets gave Jin Jing little notice?,"	Western media
"
6026,What ethnic saying is this traditional from?,"	Polish saying
"
6027,"As well as representing the original text, a critical text must also do what?","	document variant readings
"
6028,What average daily amount did a tourist spend in Tennessee in 2013?,"	$118
"
6029,Which contestant won the season?,"	Jordin Sparks
"
6030,What does NCDC stand for?,"	Northwestern Community Development Corps
"
6031,In what year was Sega's AStron Belt released?,"	1983
"
6032,Which three countried did Yaroslav's daughters become queens of?,"	Hungary, France and Norway
"
6033,Who staffs the one ambulance available on Norfolk Island?,"	St John Ambulance Australia volunteers
"
6034,What qualities were more emphasized in neoclassical versus Baroque?,"	planar qualities, rather than sculptural volumes
"
6035,Liberating insight is attained after mastering what?,"	Rupa Jhanas
"
6036,What did CBC air during the NHL lockout?,"	various recent and classic movies
"
6037,What were the Jews described as enemies of?,"	Christ
"
6038,Where did Chopin head to during the Revolution of 1848?,"	London
"
6039,Who was Paris' first director of parks and gardens?,"	Jean-Charles Alphand
"
6040,"What color is hotter than ""red hot""?","	white hot
"
6041,What is causing contreversy as to the concept of sexual orientation?,"	the universality of its application in other societies or cultures
"
6042,It is easy to turn a canine into the perfect companion because so much of what is available?,"	commodity forms
"
6043,What is Seattle's bus line called?,"	King County Metro
"
6044,Name two contributors to Reformed churches.,"	John Calvin, Huldrych Zwingli
"
6045,What are two other major populated cities in England?,"	Greater Manchester Urban Area (2.4 million), West Midlands conurbation (2.4 million)
"
6046,Who was the British Prime Minister in 1982?,"	Margaret Thatcher
"
6047,What characteristic of American cotton attracted buyers after the end of the Civil war?,"	cheap
"
6048,A mammal's brain is how many times larger than a reptiles relative to body size?,"	ten times
"
6049,"Instead of the UK adopting the federalist model, what did they do?","	UK has relied on gradual devolution to decentralise political power
"
6050,Where is the Bronx's highest point?,"	in the northwest corner, west of Van Cortlandt Park and in the Chapel Farm area near the Riverdale Country School
"
6051,What school was a response to Brutalism?,"	the school of metaphoric architecture
"
6052,What type of synthesis occurs in the 5'→3' direction?,"	Nucleic acid synthesis
"
6053,What is the Latin form of Chopin's name?,"	Fridericus Franciscus
"
6054,What challenges are China using Whitehead's ideas to help manage?,"	modernization and industrialization
"
6055,"Does the halogen bulp increase, reduce, or have no effect on filament evaporation?","	reduces
"
6056,How many people were in the Dominions' armies?,"	Over 2.5 million
"
6057,In what language was Brahmi first used?,"	Prakrit
"
6058,Which character tortures Bond?,"	Blofeld
"
6059,What changes the structuak traits of a wave on either side?,"	refractor
"
6060,How many people were killed?,"	Around 200
"
6061,Which company pays Firefox to make their search engine the default on their browser?,"	Google
"
6062,What was Thomas Taylor Meadows replying to?,"	the suggestion by another interpreter
"
6063,To whom did Queen Victoria dedicate a memorial after his death for grateful service? ,"	Disraeli
"
6064,What is corporal punishment used as retribution for?,"	an offence
"
6065,What quantity of yearly rainfall does Seattle have during the winter?,"	half
"
6066,What did Tuvalu refuse to sell in 2015?,"	fishing days
"
6067,What force devastated resupply attempts by the Japanese?,"	U.S. Fifth Air Force
"
6068,"Where, other than any Federal Reserve bank, can notes be redeemed?","	Washington, District of Columbia
"
6069,What US federal law protects trade secrets?,"	Economic Espionage Act
"
6070,What power is granted to federal agencies by Congress?,"	broad rulemaking authority
"
6071,What type of accessory company did Beyonce partner with in 2005?,"	shoe
"
6072,What was able to rise from the death of the Near East?,"	new nations
"
6073,By which name is the country called by most English speaking countries?,"	Burma continues to be used in English by the governments of many countries, such as Australia, Canada and the United Kingdom
"
6074,What is the name of the militant Islamic party in Tajikistan?,"	Hizb ut-Tahrir
"
6075,What is diarrhea?,"	the condition of having at least three loose or liquid bowel movements each day
"
6076,Who is the current president of Cyprus?,"	Nicos Anastasiades
"
6077,"What did Greece do in 1826, 1843, 1860 and 1894?","	defaulted on its external loans
"
6078,What are the US territories overseas located in the Pacific?,"	Guam, American Samoa, and the Northern Mariana Islands
"
6079,Who was the show hosted by?,"	Bai Yansong
"
6080,What is the main disadvantage of railway electrification?,"	significant capital expenditure
"
6081,What kind of school is not available in some parts of Germany?,"	Hauptschule
"
6082,Finding defects once a change in code had already happened is called?,"	Regression testing
"
6083,Chopin was credited for making what more internationally known?,"	mazurkas
"
6084,Who was established as the new governor?,"	Jesús José Casavantes
"
6085,What does the large number of omissions  make the determinatives?,"	complex
"
6086,Why is this a bad practice?,"	this will make the computer think multiple people are waiting and will allocate empty cars to serve this one person
"
6087,When was the State of Himchal Pradesh Act passed?,"	18 December 1970
"
6088,the 1277 Paris Condemnations led to what conclusion?,"	God could create a vacuum if he so wished.
"
6089,Riverbank State park's highest point is how high above the Hudson River?,"	69 feet
"
6090,"What ""ices"" makes up Neptune? ","	water, ammonia, and methane
"
6091,How many Americans were killed during the Pearl Harbor attack?,"	2,403
"
6092,When was Madonna born?,"	August 16, 1958
"
6093,What do Christians believe is the way to salvation?,"	faith in Jesus
"
6094,Which parts of the ball carrier's body do not cause play to stop when they touch the ground?,"	feet and hands
"
6095,What was Burma's greatest export during that time of English rule ?,"	rice
"
6096,What is the German analogue of the comprehensive school?,"	Gesamtschule
"
6097,What treaty with England conflicted with the United States' Treaty of Alliance with France?,"	the Jay Treaty
"
6098,Voltaire wrote Letters on the English in what year?,"	1733
"
6099,Who was the labor leader of the Autoworkers?,"	Walter Reuther
"
6100,How many cyber cafes were withing the territory in 2006?,"	234
"
6101,"Who invented the term ""urban adult contemporary format""?","	Barry Mayo
"
6102,"Other than in Hanover, where else can you find a Blind Man Museum?","	Berlin
"
6103,When was the movie depicting soviet department stores filmed? ,"	1956
"
6104,Has public school enrollment dropped or increased in the last 5 years?,"	dropped
"
6105,On what two occasions was Tucson's record high?,"	June 19, 1960, and July 28, 1995
"
6106,"How many sura's in the Quran begin with ""In the name of God?""","	All but one
"
6107,Where did the Bells live when the Halifax Explosion happened?,"	Beinn Bhreagh
"
6108,What disease did Victoria's youngest son have? ,"	the blood-clotting disease haemophilia B
"
6109,"What two women were said to be obsessed by ""mania?""","	Delphi and Dodona
"
6110,Who was Kerry's paternal grandfather?,"	Frederick A. ""Fred"" Kerry
"
6111,What Syrian social group opposed the UAR?,"	elites
"
6112,Corruption in what compromises the rule of law?,"	judiciary
"
6113,What precipitated the development of the Hasidic movement?,"	A thriving publishing industry and the printing of hundreds of biblical commentaries
"
6114,Who does Bond meet in the MI6 building?,"	Blofeld
"
6115,What basic trait do all hunter-gatherers share?,"	stone tool production
"
6116,Who was eliminated in the Top 4 show?,"	Chris Daughtry
"
6117,Are there any Greek who still live in the area around the dark sea in any majority of numbers?,"	smaller Greek minorities in the rest of the Balkan countries, the Levant and the Black Sea states,
"
6118, At the time of the French Revolution what previous focus of humanism was removed?,"	supernatural
"
6119,Where did US Marines land?,"	Lebanon
"
6120,What are Jehovah Witnesses taught association with worldly people presents to their faith?,"	danger
"
6121,What philosophical practice did Liu Ying believe in?,"	Buddhism
"
6122,How many Chinese guards were allowed to go with the torch?,"	two
"
6123,What did Forbes say Barcelona was worth in 2010?,"	€752 million
"
6124,Which music genre has had the most success from American Idol? ,"	country
"
6125,What outdoor mall is in Catalina Foothills?,"	La Encantada
"
6126,How many miles long was the human chain?,"	300
"
6127,What was the initial US strategy in the War of 1812?,"	invading British Canada, hoping to use captured territory as a bargaining chip
"
6128,What step of the DVD production process causes contrast banding?,"	MPEG-2 encoding process
"
6129,What camera style does Spielberg often use?,"	low height camera tracking shots
"
6130,In what year was the Royal Citadel constructed?,"	1666
"
6131,Where were Frédéric's parents located at when he saw them for the final time in 1835?,"	Carlsbad
"
6132,What tradition was fostered by Eisenhower's reaction to McCarthy's subpoena threats?,"	executive privilege
"
6133,What traditional culture predominates in many areas of small farms?,"	farmer and herder culture
"
6134,What other type of countries has gumbe been kept out of?,"	generally syncretist African countries
"
6135,What is still a major symbol of Portuguese football history?,"	Eusébio
"
6136,Chopin was actually born outside of Warsaw at what location?,"	Żelazowa Wola
"
6137,"While not illegal, an unholy alliance can be more dangerous to the public than what?","	patronage
"
6138,What's an example of a form fitting garment?,"	Spandex
"
6139,What is the Korean pronunciation of water?,"	mul
"
6140,How many commanders are in The Order?,"	8,960
"
6141,Why did Hegel believe natural things are less real than spiritual things?,"	less self-determining
"
6142,What event ended the uprising?,"	the invasion of the Teutonic Order.
"
6143,How must Whiteheads cosmology now be considered?,"	Whitehead's cosmology must be regarded as a local approximation
"
6144,Where did the mandolins find a new home? ,"	bluegrass
"
6145,Who aided the immigration to Israel?,"	Israeli Immigration Department
"
6146,How old was Mabel when she became deaf?,"	15
"
6147,What type of knowledge did Schopenhauer believe the ideal to be?,"	subjective
"
6148,What integers are included in modulo p?,"	1 to p − 1
"
6149,When was the Antebellum age considered to have begun?,"	with the Kansas–Nebraska Act of 1854
"
6150,What arena was ArenaBowl XXI played in?,"	New Orleans Arena
"
6151,How many non profit organizations are members of the Medical Center?,"	49
"
6152,Which graduate of The Feinburg School of Medicine founded the American College of Surgeons?,"	Allen B. Kanavel
"
6153,What drug does the documentary Pumping Iron show Schwarzenegger using?,"	marijuana
"
6154,Software stored in ROM is called what usually?,"	firmware,
"
6155,"In addition to printed graphic novels in stores, what became popular online?","	webcomics
"
6156,What was the official language of the Ottoman Empire?,"	Ottoman Turkish
"
6157,Many researchers prefer what term?,"	Canis familiaris.
"
6158,What was the name of the room that the first exhibition of Cubists took place?,"	Salle 41
"
6159,When did the Caledonian Orogeny occur?,"	c. 488–444 Ma and early Silurian period
"
6160,How many additional actors were needed for the shoot in Mexico City?,"	1,500
"
6161,What song did she perform at the MTV Awards?,"	Love on Top
"
6162,What invention included an inverted pendulum?,"	seismometer
"
6163,What does it mean if a God is not omnipotent?,"	is not God
"
6164,How many public school systems does North Carolina have?,"	115
"
6165,When was Sanskrit and Indian culture popular?,"	18th century
"
6166,"Who called American Idol ""the most impactful show in the history of television""?","	a rival TV executive
"
6167,Is it believed that they truly are responsible in full for the collapse ? ,"	it is likely the main attack was made by seafaring raiders (sea peoples)
"
6168,During what decade was smooth soul popular?,"	1970s
"
6169,When did the scientific classification change?,"	1990s
"
6170,How many Green Standard Army soldiers  were on the Qing side?,"	400,000
"
6171,When did Whitehead accept administrative positions?,"	1918
"
6172,What is the abbreviation by which the University of Kansas is known?,"	KU
"
6173,Who was the governor of New York under which the loyalist and British raid of New Haven took place?,"	General William Tryon
"
6174,What city was named Beer City USA?,"	Asheville
"
6175,Why do people eat Gaejang-guk in the summer months?,"	to balance the body's heat
"
6176,Are the knots that dead tree limbs form attached or not attached?,"	not attached
"
6177,During what century did gold coinage cease?,"	7th
"
6178,"In 1860, what notable U.S. president gave a speech on slavery in New Haven?","	Abraham Lincoln
"
6179,What name was it assumed Elizabeth would take upon her marriage to Philip?,"	Mountbatten,
"
6180,"In the Marvel Universe, the public treated conferred what response on the Fantastic Four?","	celebrity status
"
6181,What famous tree species is believed to have evolved during the Mesozoic?,"	Sequoia
"
6182,Who proposed using a table to store data?,"	Codd
"
6183,What was the inaugural year of the AFL?,"	1987
"
6184,What is considered the start of the Grecian cultural world ?,"	beginning in the Mycenaean civilization
"
6185,What industry was targeted ,"	Medical/Bio-Sciences
"
6186,About when did the Labour Parry start?,"	late 19th century
"
6187,What is the relationship between Pakistan's Constitution and Azad Kashmir?,"	does not apply to it
"
6188,Which city was originally not a part of the Federal Republic of Germany?,"	West Berlin
"
6189,Anne Freud and Edward Glover said London civilians did not suffer from what?,"	widespread shell shock
"
6190,What other leaders believed this?,"	powerful bishops
"
6191,What medal did Kerry earn for rescuing Rassmann?,"	the Bronze Star Medal with Combat ""V""
"
6192,In what way is red used in contemporary fashion?,"	to attract the eyes of the viewer to the person
"
6193,"Along with pre-rock standards, what type of older songs did MOR stations play?","	big band titles
"
6194,Who was Gaddafi's father's father?,"	Abdessalam Bouminyar
"
6195,Who was killed in the attack of the Social Democrats?,"	Gustav Sauf
"
6196,What process what used to study the gathered fragments?,"	advanced photographic techniques
"
6197,What did South Africa's Constitution Declare to be?,"	a ""Non-racial democracy""
"
6198,What organization provided data detailing the size of the city?,"	United States Census Bureau
"
6199,ARPA is now known as what?,"	DARPA)
"
6200,When did Apple begin shipping computers with CD-RW drives?,"	early 2001
"
6201,What material were the first light bulb filaments made from?,"	carbon
"
6202,Why was this plant chosen for sequencing?,"	one of the smallest genomes
"
6203,How did Lavoisier produce hydrogen for his experiments?,"	reacting a flux of steam with metallic iron through an incandescent iron tube heated in a fire
"
6204,What happens to copper if an electrical current gets too high?,"	it begins to heat excessively
"
6205,Who co-hosts CERN along with the French department of Ain?,"	Geneva
"
6206,In what year was Tito inaugurated as president?,"	1953
"
6207,Who disputed the Lausanne Congress of Supreme Councils?,"	Grand Orient de France
"
6208,The Zune video marketplace was merged with what Live feature?,"	Xbox Live Video Store
"
6209,What ingredient is filtered out of most beers when it is packaged in bottles and cans?,"	yeast
"
6210,The route in Almaty went from Medeo Stadium to where?,"	Astana Square.
"
6211,What is rare in LED lighting?,"	Sudden failures
"
6212,What major airport is located to the southwest of Delhi?,"	Indira Gandhi International Airport
"
6213,With whom did Paul VI issue a regulation in 1968?,"	Pontificalis Domus
"
6214,Who did Prior Diego admire more than the Holy Church?,"	the Cathars
"
6215,Which government awards the Legion of Honour and the National Order of Merit?,"	French
"
6216,How far out of alignment is Oklahoma's western edge from Texas's border?,"	2.1 to 2.2 miles
"
6217,What trees are typically found in the dryer portions?,"	oak
"
6218,"How is the soul perceived according to Avicenna's work ""Floating Man""?","	intellectually
"
6219,What crucial part of a house is often constructed from wood?,"	roof
"
6220,Do the people of London agree with this action?,"	the move seen as both unfair to fans of teams located far from London
"
6221,What fungi can grow in copper metalliferous soils?,"	ericoid mycorrhizal fungi
"
6222,"Left untreated, how long were diabetic patients were expected to live?","	a few months
"
6223,How many years long was the Cenozoic Era?,"	66 million years
"
6224,What do people living in Cyprus rely on for household water?,"	rain
"
6225,When asthma is caused by allergens that is called what? ,"	atopic
"
6226,When was the Behistun inscription written?,"	520 BC
"
6227,How long did the presidential term become under the new constitution?,"	seven years
"
6228,What song by Rod Stewart used the mandolin? ,"	Maggie May
"
6229,What different uses does fruit have in Armenian food?,"	main ingredient as well as to sour food
"
6230,Affiliates of what network broadcast Arizona Rattlers games?,"	Fox Sports
"
6231,What does ORE stand for?,"	Office of Reports and Estimates
"
6232,In Chinese Buddhism what meditation is more popular?,"	Zen
"
6233,Where was the BBC's transmitter located in 1930?,"	Brookmans Park
"
6234,Which animal is the main motif of England's national football team?,"	lions
"
6235,What is the average cost of electricity from a hydro plant larger than 10 megawatts?,"	3 to 5 U.S. cents per kilowatt-hour
"
6236,What is a FBI branch divided into?,"	offices and divisions
"
6237,Who led the rescue effort after the earthquake of 1985?,"	ordinary citizens
"
6238,How much identified as mixed race?,"	40%
"
6239,What does 基督徒 (pinyin: jīdū tú) mean?,"	Christ follower
"
6240,"Among the Southeast Asian countries, which one is densely populated?","	Indonesia
"
6241,What did all the anthropological societies allow their membership to be?,"	international
"
6242,Like a Prayer reflects Madonna's relationship with who?,"	her parents
"
6243,What was the name of the legistlation leading to the change in ARCUK's name?,"	the Housing Grants, Construction and Regeneration Act
"
6244,How many records has Beyonce sold in her 19 year career?,"	118 million
"
6245,Faith can bring what eternal benefit?,"	salvation
